context,question,answer
"From an institutional perspective, the rules of the House assign a number of specific responsibilities to the minority leader. For example, Rule XII, clause 6, grant the minority leader (or his designee) the right to offer a motion to recommit with instructions; Rule II, clause 6, states the Inspector General shall be appointed by joint recommendation of the Speaker, majority leader, and minority leader; and Rule XV, clause 6, provides that the Speaker, after consultation with the minority leader, may place legislation on the Corrections Calendar. The minority leader also has other institutional duties, such as appointing individuals to certain federal entities.",What rule gives minority leader right to offer motion to recommit with instructions?,"Rule XII, clause 6"
"By the 1890s the profound effect of adrenal extracts on many different tissue types had been discovered, setting off a search both for the mechanism of chemical signalling and efforts to exploit these observations for the development of new drugs. The blood pressure raising and vasoconstrictive effects of adrenal extracts were of particular interest to surgeons as hemostatic agents and as treatment for shock, and a number of companies developed products based on adrenal extracts containing varying purities of the active substance. In 1897 John Abel of Johns Hopkins University identified the active principle as epinephrine, which he isolated in an impure state as the sulfate salt. Industrial chemist Jokichi Takamine later developed a method for obtaining epinephrine in a pure state, and licensed the technology to Parke Davis. Parke Davis marketed epinephrine under the trade name Adrenalin. Injected epinephrine proved to be especially efficacious for the acute treatment of asthma attacks, and an inhaled version was sold in the United States until 2011 (Primatene Mist). By 1929 epinephrine had been formulated into an inhaler for use in the treatment of nasal congestion.",Who identified the active substance?,John Abel
"The structure known as ""Virgil's tomb"" is found at the entrance of an ancient Roman tunnel (also known as ""grotta vecchia"") in Piedigrotta, a district two miles from the centre of Naples, near the Mergellina harbor, on the road heading north along the coast to Pozzuoli. While Virgil was already the object of literary admiration and veneration before his death, in the Middle Ages his name became associated with miraculous powers, and for a couple of centuries his tomb was the destination of pilgrimages and veneration.",During which time period did Virgil's name become associated with miraclous powers?,Middle Ages
"Each island has its own high-chief, or ulu-aliki, and several sub-chiefs (alikis). The community council is the Falekaupule (the traditional assembly of elders) or te sina o fenua (literally: ""grey-hairs of the land""). In the past, another caste, the priests (tofuga), were also amongst the decision-makers. The ulu-aliki and aliki exercise informal authority at the local level. Ulu-aliki are always chosen based on ancestry. Under the Falekaupule Act (1997), the powers and functions of the Falekaupule are now shared with the pule o kaupule (elected village presidents; one on each atoll).",What is the Tuvalu high chief on each island called?,ulu-aliki
"In separate testimony to Financial Crisis Inquiry Commission, officers of Clayton Holdings—the largest residential loan due diligence and securitization surveillance company in the United States and Europe—testified that Clayton's review of over 900,000 mortgages issued from January 2006 to June 2007 revealed that scarcely 54% of the loans met their originators’ underwriting standards. The analysis (conducted on behalf of 23 investment and commercial banks, including 7 ""too big to fail"" banks) additionally showed that 28% of the sampled loans did not meet the minimal standards of any issuer. Clayton's analysis further showed that 39% of these loans (i.e. those not meeting any issuer's minimal underwriting standards) were subsequently securitized and sold to investors.",Who was the largest residential loan due diligence and securitization surveillance company?,Clayton Holdings
"The Literary and Philosophical Society of Newcastle upon Tyne (popularly known as the 'Lit & Phil') is the largest independent library outside London, housing more than 150,000 books. Its music library contains 8000 CDs and 10,000 LPs. The current Lit and Phil premises were built in 1825 and the building was designed by John and Benjamin Green. Operating since 1793 and founded as a ‘conversation club,’ its lecture theatre was the first public building to be lit by electric light, during a lecture by Joseph Swan on 20 October 1880.",What is the largest independent library outside of London?,The Literary and Philosophical Society of Newcastle; The Literary and Philosophical Society of Newcastle upon Tyne; The Literary and Philosophical Society of Newcastle
"In September 1967, Mueller approved a sequence of mission types which had to be successfully accomplished in order to achieve the manned lunar landing. Each step had to be successfully accomplished before the next ones could be performed, and it was unknown how many tries of each mission would be necessary; therefore letters were used instead of numbers. The A missions were unmanned Saturn V validation; B was unmanned LM validation using the Saturn IB; C was manned CSM Earth orbit validation using the Saturn IB; D was the first manned CSM/LM flight (this replaced AS-258, using a single Saturn V launch); E would be a higher Earth orbit CSM/LM flight; F would be the first lunar mission, testing the LM in lunar orbit but without landing (a ""dress rehearsal""); and G would be the first manned landing. The list of types covered follow-on lunar exploration to include H lunar landings, I for lunar orbital survey missions, and J for extended-stay lunar landings.",What type of missions were approved by Mueller after the incident?,sequence; manned lunar landing.; had to be successfully accomplished; sequence of mission types; sequence
"In June 1963, Rev. Martin Luther King, Jr. gave a major speech in Detroit that foreshadowed his ""I Have a Dream"" speech in Washington, D.C. two months later. While the African-American Civil Rights Movement gained significant federal civil rights laws in 1964 and 1965, longstanding inequities resulted in confrontations between the police and inner city black youth wanting change. Longstanding tensions in Detroit culminated in the Twelfth Street riot in July 1967. Governor George W. Romney ordered the Michigan National Guard into Detroit, and President Johnson sent in U.S. Army troops. The result was 43 dead, 467 injured, over 7,200 arrests, and more than 2,000 buildings destroyed, mostly in black residential and business areas. Thousands of small businesses closed permanently or relocated to safer neighborhoods. The affected district lay in ruins for decades. It was the most costly riot in the United States.",In which year did Martin Luther King Jr. give a speech in Detroit?,1963
"Comcast has been criticized for multiple reasons. The company's customer satisfaction often ranks among the lowest in the cable industry. Comcast has violated net neutrality practices in the past; and, despite Comcast's commitment to a narrow definition of net neutrality, critics advocate a definition of which precludes distinction between Comcast's private network services and the rest of the Internet. Critics also point out a lack of competition in the vast majority of Comcast's service area; there is limited competition among cable providers. Given Comcast's negotiating power as a large ISP, some suspect that Comcast could leverage paid peering agreements to unfairly influence end-user connection speeds. Its ownership of both content production (in NBCUniversal) and content distribution (as an ISP) has raised antitrust concerns. These issues, in addition to others, led to Comcast being dubbed ""The Worst Company in America"" by The Consumerist in 2014 and 2010.",What is the largest criticism leveled by consumers against Comcast,customer satisfaction
"Von Neumann's ability to instantaneously perform complex operations in his head stunned other mathematicians. Eugene Wigner wrote that, seeing von Neumann's mind at work, ""one had the impression of a perfect instrument whose gears were machined to mesh accurately to a thousandth of an inch."" Paul Halmos states that ""von Neumann's speed was awe-inspiring."" Israel Halperin said: ""Keeping up with him was ... impossible. The feeling was you were on a tricycle chasing a racing car."" Edward Teller wrote that von Neumann effortlessly outdid anybody he ever met, and said ""I never could keep up with him"". Teller also said ""von Neumann would carry on a conversation with my 3-year-old son, and the two of them would talk as equals, and I sometimes wondered if he used the same principle when he talked to the rest of us. Most people avoid thinking if they can, some of us are addicted to thinking, but von Neumann actually enjoyed thinking, maybe even to the exclusion of everything else.""",How quickly was von Neumann able to complete math in his head?,stunned other mathematicians
"The term middle east as a noun and adjective was common in the 19th century in nearly every context except diplomacy and archaeology. An uncountable number of places appear to have had their middle easts from gardens to regions, including the United States. The innovation of the term ""Near East"" to mean the holdings of the Ottoman Empire as early as the Crimean War had left a geographical gap. The East Indies, or ""Far East,"" derived ultimately from Ptolemy's ""India Beyond the Ganges."" The Ottoman Empire ended at the eastern border of Iraq. ""India This Side of the Ganges"" and Iran had been omitted. The archaeologists counted Iran as ""the Near East"" because Old Persian cuneiform had been found there. This usage did not sit well with the diplomats; India was left in an equivocal state. They needed a regional term.",When was the term middle east common as a noun and adjective?,the 19th century
"At about the same time, the word ""humanism"" as a philosophy centred on humankind (as opposed to institutionalised religion) was also being used in Germany by the so-called Left Hegelians, Arnold Ruge, and Karl Marx, who were critical of the close involvement of the church in the repressive German government. There has been a persistent confusion between the several uses of the terms: philanthropic humanists look to what they consider their antecedents in critical thinking and human-centered philosophy among the Greek philosophers and the great figures of Renaissance history; and scholarly humanists stress the linguistic and cultural disciplines needed to understand and interpret these philosophers and artists.",What was the main difference between humanism and the religions of the time?,centred on humankind
"Other professional sports clubs in Oklahoma City include the Oklahoma City Dodgers, the Triple-A affiliate of the Los Angeles Dodgers, the Oklahoma City Energy FC of the United Soccer League, and the Crusaders of Oklahoma Rugby Football Club USA Rugby.",What team is the affiliate to the Los Angeles Dodgers?,Oklahoma City Dodgers
"In September 2003, a new type of blue LED was demonstrated by Cree that consumes 24 mW at 20 milliamperes (mA). This produced a commercially packaged white light giving 65 lm/W at 20 mA, becoming the brightest white LED commercially available at the time, and more than four times as efficient as standard incandescents. In 2006, they demonstrated a prototype with a record white LED luminous efficacy of 131 lm/W at 20 mA. Nichia Corporation has developed a white LED with luminous efficacy of 150 lm/W at a forward current of 20 mA. Cree's XLamp XM-L LEDs, commercially available in 2011, produce 100 lm/W at their full power of 10 W, and up to 160 lm/W at around 2 W input power. In 2012, Cree announced a white LED giving 254 lm/W, and 303 lm/W in March 2014. Practical general lighting needs high-power LEDs, of one watt or more. Typical operating currents for such devices begin at 350 mA.",In what year was a new type of blue LED produced?,2003
"The conflict in northern Mali began in January 2012 with radical Islamists (affiliated to al-Qaeda) advancing into northern Mali. The Malian government had a hard time maintaining full control over their country. The fledgling government requested support from the international community on combating the Islamic militants. In January 2013, France intervened on behalf of the Malian government's request and deployed troops into the region. They launched Operation Serval on 11 January 2013, with the hopes of dislodging the al-Qaeda affiliated groups from northern Mali.",When did a Mali conflict begin?,January 2012
"Several notable features have been removed in Windows 8, beginning with the traditional Start menu. Support for playing DVD-Video was removed from Windows Media Player due to the cost of licensing the necessary decoders (especially for devices which do not include optical disc drives at all) and the prevalence of online streaming services. For the same reasons, Windows Media Center is not included by default on Windows 8, but Windows Media Center and DVD playback support can be purchased in the ""Pro Pack"" (which upgrades the system to Windows 8 Pro) or ""Media Center Pack"" add-on for Windows 8 Pro. As with prior versions, third-party DVD player software can still be used to enable DVD playback.",Why was the ability to play DVD-Video taken off of Windows Media Player?,the cost of licensing the necessary decoders
"One-third of the world's population is thought to be infected with TB. New infections occur in about 1% of the population each year. In 2014, there were 9.6 million cases of active TB which resulted in 1.5 million deaths. More than 95% of deaths occurred in developing countries. The number of new cases each year has decreased since 2000. About 80% of people in many Asian and African countries test positive while 5–10% of people in the United States population tests positive by the tuberculin test. Tuberculosis has been present in humans since ancient times.",How much of the entire population of the planet is estimated to be carrying tuberculosis?,One-third
"Despite these criticisms, Comcast has appeared on multiple ""top places to work"" lists. In 2009, it was included on CableFAX magazine's ""Top 10 Places to Work in Cable"", which cited its ""scale, savvy and vision"". Similarly, the Philadelphia Business Journal awarded Comcast the silver medal among extra-large companies in Philadelphia, with the gold medal going to partner organization, Comcast-Spectacor. The Boston Globe found Comcast to be that city's top place to work in 2009. Employee diversity is also an attribute upon which Comcast receives strong marks. In 2008, Black Enterprise magazine rated Comcast among the top 15 companies for workforce diversity. Comcast was also named a ""Top 2014 Workplace"" by the Washington Post in their annual feature.",What magazine listed Comcast as one of its top places to work?,CableFAX
"On October 17, 1987, about 3,000 Armenians demonstrated in Yerevan complaining about the condition of Lake Sevan, the Nairit chemicals plant, and the Metsamor Nuclear Power Plant, and air pollution in Yerevan. Police tried to prevent the protest but took no action to stop it once the march was underway. The demonstration was led by Armenian writers such as Silva Kaputikian, Zori Balayan, and Maro Margarian and leaders from the National Survival organization. The march originated at the Opera Plaza after speakers, mainly intellectuals, addressed the crowd.",When was the Yerevan demonstration?,"October 17, 1987"
"The U.S. Navy, by contrast, relied on commerce raiding from the outset. However, the problem of Allied forces surrounded in the Philippines, during the early part of 1942, led to diversion of boats to ""guerrilla submarine"" missions. As well, basing in Australia placed boats under Japanese aerial threat while en route to patrol areas, reducing their effectiveness, and Nimitz relied on submarines for close surveillance of enemy bases. Furthermore, the standard-issue Mark 14 torpedo and its Mark VI exploder both proved defective, problems which were not corrected until September 1943. Worst of all, before the war, an uninformed US Customs officer had seized a copy of the Japanese merchant marine code (called the ""maru code"" in the USN), not knowing that the Office of Naval Intelligence (ONI) had broken it. The Japanese promptly changed it, and the new code was not broken again by OP-20G until 1943.",What did the US Navy rely on?,commerce raiding
"The first ""free election"" (Polish: ""wolna elekcja"") of a king took place in 1492. (To be sure, some earlier Polish kings had been elected with help from bodies such as that which put Casimir II on the throne, thereby setting a precedent for free elections.) Only senators voted in the 1492 free election, which was won by John I Albert. For the duration of the Jagiellonian Dynasty, only members of that royal family were considered for election; later, there would be no restrictions on the choice of candidates.",When did the first free election take place?,1492
"Egypt was producing 691,000 bbl/d of oil and 2,141.05 Tcf of natural gas (in 2013), which makes Egypt as the largest oil producer not member of the Organization of the Petroleum Exporting Countries (OPEC) and the second-largest dry natural gas producer in Africa. In 2013, Egypt was the largest consumer of oil and natural gas in Africa, as more than 20% of total oil consumption and more than 40% of total dry natural gas consumption in Africa. Also, Egypt possesses the largest oil refinery capacity in Africa 726,000 bbl/d (in 2012). Egypt is currently planning to build its first nuclear power plant in El Dabaa city, northern Egypt.",How much oil is Egypt producing in a day?,"691,000 bbl/d"
"The Romantic Movement of the early 19th century reshaped science by opening up new pursuits unexpected in the classical approaches of the Enlightenment. Major breakthroughs came in biology, especially in Darwin's theory of evolution, as well as physics (electromagnetism), mathematics (non-Euclidean geometry, group theory) and chemistry (organic chemistry). The decline of Romanticism occurred because a new movement, Positivism, began to take hold of the ideals of the intellectuals after 1840 and lasted until about 1880.",Which movement took place during the 19th century?,The Romantic Movement
"In addition, like most Slavic languages, the Shtokavian verb also has one of two aspects: perfective or imperfective. Most verbs come in pairs, with the perfective verb being created out of the imperfective by adding a prefix or making a stem change. The imperfective aspect typically indicates that the action is unfinished, in progress, or repetitive; while the perfective aspect typically denotes that the action was completed, instantaneous, or of limited duration. Some Štokavian tenses (namely, aorist and imperfect) favor a particular aspect (but they are rarer or absent in Čakavian and Kajkavian). Actually, aspects ""compensate"" for the relative lack of tenses, because aspect of the verb determines whether the act is completed or in progress in the referred time.",Which tense indicates that an action hasn't finished?,imperfective
"The typical lifespan of dogs varies widely among breeds, but for most the median longevity, the age at which half the dogs in a population have died and half are still alive, ranges from 10 to 13 years. Individual dogs may live well beyond the median of their breed.",What is the median lifespan of canines?,10 to 13 years.
"France's highest courts are located in Paris. The Court of Cassation, the highest court in the judicial order, which reviews criminal and civil cases, is located in the Palais de Justice on the Île de la Cité, while the Conseil d'État, which provides legal advice to the executive and acts as the highest court in the administrative order, judging litigation against public bodies, is located in the Palais-Royal in the 1st arrondissement. The Constitutional Council, an advisory body with ultimate authority on the constitutionality of laws and government decrees, also meets in the Montpensier wing of the Palais Royal.",Where are France's highest courts located?,Paris
"On August 17, 2007, Dell Inc. announced that after an internal investigation into its accounting practices it would restate and reduce earnings from 2003 through to the first quarter of 2007 by a total amount of between $50 million and $150 million, or 2 cents to 7 cents per share. The investigation, begun in November 2006, resulted from concerns raised by the U.S. Securities and Exchange Commission over some documents and information that Dell Inc. had submitted. It was alleged that Dell had not disclosed large exclusivity payments received from Intel for agreeing not to buy processors from rival manufacturer AMD. In 2010 Dell finally paid $100 million to settle the SEC's charges of fraud. Michael Dell and other executives also paid penalties and suffered other sanctions, without admitting or denying the charges.",What department did Dell launch an internal investigation on?,accounting
"One use of the term ""computer security"" refers to technology that is used to implement secure operating systems. In the 1980s the United States Department of Defense (DoD) used the ""Orange Book"" standards, but the current international standard ISO/IEC 15408, ""Common Criteria"" defines a number of progressively more stringent Evaluation Assurance Levels. Many common operating systems meet the EAL4 standard of being ""Methodically Designed, Tested and Reviewed"", but the formal verification required for the highest levels means that they are uncommon. An example of an EAL6 (""Semiformally Verified Design and Tested"") system is Integrity-178B, which is used in the Airbus A380 and several military jets.",Technology that is used to implement secure operating systems is one use of what term?,computer security
"Many Latin American migrants have been mestizo, Amerindian, or other mixed race. Multiracial Latinos have limited media appearance; critics have accused the U.S. Hispanic media of overlooking the brown-skinned indigenous and multiracial Hispanic and black Hispanic populations by over-representation of blond and blue/green-eyed white Hispanic and Latino Americans (who resemble Scandinavians and other Northern Europeans rather than they look like white Hispanic and Latino Americans mostly of typical Southern European features), and also light-skinned mulatto and mestizo Hispanic and Latino Americans (often deemed as white persons in U.S. Hispanic and Latino populations if achieving the middle class or higher social status), especially some of the actors on the telenovelas.",What are many Latin American migrants?,"mestizo, Amerindian, or other mixed race"
"The Spanish governor was expelled in 1814. In 1816, Portugal invaded the recently liberated territory and in 1821, it was annexed to the Banda Oriental of Brazil. Juan Antonio Lavalleja and his band called the Treinta y Tres Orientales (""Thirty-Three Orientals"") re-established the independence of the region in 1825. Uruguay was consolidated as an independent state in 1828, with Montevideo as the nation's capital. In 1829, the demolition of the city's fortifications began and plans were made for an extension beyond the Ciudad Vieja, referred to as the ""Ciudad Nueva"" (""new city""). Urban expansion, however, moved very slowly because of the events that followed.",What year was the Spanish governor expelled?,1814
"Political unification returned in the mid-16th century, due to the efforts of Taungoo, a former vassal state of Ava. Taungoo's young, ambitious king Tabinshwehti defeated the more powerful Hanthawaddy in the Toungoo–Hanthawaddy War (1534–41). His successor Bayinnaung went on to conquer a vast swath of mainland Southeast Asia including the Shan states, Lan Na, Manipur, Mong Mao, the Ayutthaya Kingdom, Lan Xang and southern Arakan. However, the largest empire in the history of Southeast Asia unravelled soon after Bayinnaung's death in 1581, completely collapsing by 1599. Ayutthaya seized Tenasserim and Lan Na, and Portuguese mercenaries established Portuguese rule at Thanlyin (Syriam).","Before attempting to obtain political unification, what title did Taungoo,hold ? ",a former vassal state of Ava.
"The biodiversity of plant species is the highest on Earth with one 2001 study finding a quarter square kilometer (62 acres) of Ecuadorian rainforest supports more than 1,100 tree species. A study in 1999 found one square kilometer (247 acres) of Amazon rainforest can contain about 90,790 tonnes of living plants. The average plant biomass is estimated at 356 ± 47 tonnes per hectare. To date, an estimated 438,000 species of plants of economic and social interest have been registered in the region with many more remaining to be discovered or catalogued. The total number of tree species in the region is estimated at 16,000.",How many kilometers of acres of the Ecuadorian rainforest is supported?,62 acres; quarter square; quarter square; 62
"When people define and talk about a particular conception of race, they create a social reality through which social categorization is achieved. In this sense, races are said to be social constructs. These constructs develop within various legal, economic, and sociopolitical contexts, and may be the effect, rather than the cause, of major social situations. While race is understood to be a social construct by many, most scholars agree that race has real material effects in the lives of people through institutionalized practices of preference and discrimination.",How do people create a social reality in which social categorization is achieved?,define and talk about a particular conception of race
"Motors have very little room for electrical insulation so they generally have low voltage ratings. Because transformers (prior to the development of power electronics) cannot step down DC voltages, trains were supplied with a relatively low DC voltage that the motors can use directly. The most common DC voltages are listed in the previous section. Third (and fourth) rail systems almost always use voltages below 1 kV for safety reasons while overhead wires usually use higher voltages for efficiency. (""Low"" voltage is relative; even 600 V can be instantly lethal when touched.)",Why do motors have little space for insulation?,low voltage ratings
"In the higher education sector, there are seven designated Universities of Technology in Australia (though, note, not all use the phrase ""university of technology"", such as the Universities of Canberra and South Australia, which used to be Colleges of Advanced Education before transitioning into fully-fledged universities with the ability - most important of all - to confer doctorates):","In Australia, how many universities are recognized as Universities of Technology?",seven
"Currently, the army is divided into the Regular Army, the Army Reserve, and the Army National Guard. The army is also divided into major branches such as Air Defense Artillery, Infantry, Aviation, Signal Corps, Corps of Engineers, and Armor. Before 1903 members of the National Guard were considered state soldiers unless federalized (i.e., activated) by the President. Since the Militia Act of 1903 all National Guard soldiers have held dual status: as National Guardsmen under the authority of the governor of their state or territory and, when activated, as a reserve of the U.S. Army under the authority of the President.",What were National Guard members considered before 1903?,state soldiers
"Among the philosophies that have influenced modern architects and their approach to building design are rationalism, empiricism, structuralism, poststructuralism, and phenomenology.",What are some philosophies that modern architects use?,"rationalism, empiricism, structuralism, poststructuralism, and phenomenology."
"In 1821, Saul Solomon issued a 70,560 copper tokens worth a halfpenny each Payable at St Helena by Solomon, Dickson and Taylor – presumably London partners – that circulated alongside the East India Company's local coinage until the Crown took over the island in 1836. The coin remains readily available to collectors.",How many copper tokens were Issued in 1821?,"70,560"
"Iranian scientists outside Iran have also made some major contributions to science. In 1960, Ali Javan co-invented the first gas laser, and fuzzy set theory was introduced by Lotfi Zadeh. Iranian cardiologist, Tofy Mussivand invented and developed the first artificial cardiac pump, the precursor of the artificial heart. Furthering research and treatment of diabetes, HbA1c was discovered by Samuel Rahbar. Iranian physics is especially strong in string theory, with many papers being published in Iran. Iranian-American string theorist Kamran Vafa proposed the Vafa-Witten theorem together with Edward Witten. In August 2014, Maryam Mirzakhani became the first-ever woman, as well as the first-ever Iranian, to receive the Fields Medal, the highest prize in mathematics.",Which Iranian scientist co-invented the first gas laser?,Ali Javan
"Many of the instruments used to perform medieval music still exist, but in different forms. Medieval instruments included the wood flute (which in the 21st century is made of metal), the recorder and plucked string instruments like the lute. As well, early versions of the organ, fiddle (or vielle), and trombone (called the sackbut) existed. Medieval instruments in Europe had most commonly been used singly, often self accompanied with a drone note, or occasionally in parts. From at least as early as the 13th century through the 15th century there was a division of instruments into haut (loud, shrill, outdoor instruments) and bas (quieter, more intimate instruments).",What was the medieval flute made from?,wood
"Despite the city's recent financial issues, many developers remain unfazed by Detroit's problems. Midtown is one of the most successful areas within Detroit to have a residential occupancy rate of 96%. Numerous developments have been recently completely or are in various stages of construction. These include the $82 million reconstruction of downtown's David Whitney Building (now an Aloft Hotel and luxury residences), the Woodward Garden Block Development in Midtown, the residential conversion of the David Broderick Tower in downtown, the rehabilitation of the Book Cadillac Hotel (now a Westin and luxury condos) and Fort Shelby Hotel (now Doubletree) also in downtown, and various smaller projects.",What part of Detroit still has high population density??,Midtown
"Beginning in the 1940s and continuing into the 1970s, the bureau investigated cases of espionage against the United States and its allies. Eight Nazi agents who had planned sabotage operations against American targets were arrested, and six were executed (Ex parte Quirin) under their sentences. Also during this time, a joint US/UK code-breaking effort (the Venona project)—with which the FBI was heavily involved—broke Soviet diplomatic and intelligence communications codes, allowing the US and British governments to read Soviet communications. This effort confirmed the existence of Americans working in the United States for Soviet intelligence. Hoover was administering this project but failed to notify the Central Intelligence Agency (CIA) until 1952. Another notable case is the arrest of Soviet spy Rudolf Abel in 1957. The discovery of Soviet spies operating in the US allowed Hoover to pursue his longstanding obsession with the threat he perceived from the American Left, ranging from Communist Party of the United States of America (CPUSA) union organizers to American liberals.",When did the FBI begin investigating espionage?,1940s
"The colophons of ancient manuscripts, dated as late as the 20th century, refer to Kathmandu as Kasthamandap Mahanagar in Nepal Mandala. Mahanagar means ""great city"". The city is called ""Kasthamandap"" in a vow that Buddhist priests still recite to this day. Thus, Kathmandu is also known as Kasthamandap. During medieval times, the city was sometimes called Kantipur (कान्तिपुर). This name is derived from two Sanskrit words - Kanti and pur. ""Kanti"" is one of the names of the Goddess Lakshmi, and ""pur"" means place.",What is the ancient name of Kathmandu?,Kasthamandap Mahanagar
"The traditional picture of an orderly series of scripts, each one invented suddenly and then completely displacing the previous one, has been conclusively demonstrated to be fiction by the archaeological finds and scholarly research of the later 20th and early 21st centuries. Gradual evolution and the coexistence of two or more scripts was more often the case. As early as the Shang dynasty, oracle-bone script coexisted as a simplified form alongside the normal script of bamboo books (preserved in typical bronze inscriptions), as well as the extra-elaborate pictorial forms (often clan emblems) found on many bronzes.",What existed as early as the Shang dynasty?,oracle-bone script
"Nakamura was awarded the 2006 Millennium Technology Prize for his invention. Nakamura, Hiroshi Amano and Isamu Akasaki were awarded the Nobel Prize in Physics in 2014 for the invention of the blue LED. In 2015, a US court ruled that three companies (i.e. the litigants who had not previously settled out of court) that had licensed Mr. Nakamura's patents for production in the United States had infringed Dr. Moustakas's prior patent, and order them to pay licensing fees of not less than 13 million USD.","What Nobel Prize did Nakamura, Amano, and Akasaki receive in 2014?",Physics
"The earliest good evidence for oligochaetes occurs in the Tertiary period, which began 65 million years ago, and it has been suggested that these animals evolved around the same time as flowering plants in the early Cretaceous, from 130 to 90 million years ago. A trace fossil consisting of a convoluted burrow partly filled with small fecal pellets may be evidence that earthworms were present in the early Triassic period from 251 to 245 million years ago. Body fossils going back to the mid Ordovician, from 472 to 461 million years ago, have been tentatively classified as oligochaetes, but these identifications are uncertain and some have been disputed.",When did the Tertiary period begin?,65 million years ago
"Although an alloy is technically an impure metal, when referring to alloys, the term ""impurities"" usually denotes those elements which are not desired. These impurities are often found in the base metals or the solutes, but they may also be introduced during the alloying process. For instance, sulfur is a common impurity in steel. Sulfur combines readily with iron to form iron sulfide, which is very brittle, creating weak spots in the steel. Lithium, sodium and calcium are common impurities in aluminium alloys, which can have adverse effects on the structural integrity of castings. Conversely, otherwise pure-metals that simply contain unwanted impurities are often called ""impure metals"" and are not usually referred to as alloys. Oxygen, present in the air, readily combines with most metals to form metal oxides; especially at higher temperatures encountered during alloying. Great care is often taken during the alloying process to remove excess impurities, using fluxes, chemical additives, or other methods of extractive metallurgy.",What is a characteristic of iron sulfide?,very brittle
"Very few early Byzantine mosaics survived the Iconoclastic destruction of the 8th century. Among the rare examples are the 6th-century Christ in majesty (or Ezekiel's Vision) mosaic in the apse of the Church of Hosios David in Thessaloniki that was hidden behind mortar during those dangerous times. Nine mosaic panels in the Hagios Demetrios Church, which were made between 634 and 730, also escaped destruction. Unusually almost all represent Saint Demetrius of Thessaloniki, often with suppliants before him.",How many Byzantine mosaics survived past the 8th century?,Very few
"During the dictatorships of Miguel Primo de Rivera (1923–1930) and especially of Francisco Franco (1939–1975), all regional cultures were suppressed. All of the languages spoken in Spanish territory, except Spanish (Castilian) itself, were officially banned. Symbolising the Catalan people's desire for freedom, Barça became 'More than a club' (Més que un club) for the Catalans. According to Manuel Vázquez Montalbán, the best way for the Catalans to demonstrate their identity was by joining Barça. It was less risky than joining a clandestine anti-Franco movement, and allowed them to express their dissidence. During Franco's regime, however, the blaugrana team was granted profit due to its good relationship with the dictator at management level, even giving two awards to him.",What caused the suppression of regional cultures?,dictatorships
"Presbyterian denominations that trace their heritage to the British Isles usually organise their church services inspired by the principles in the Directory of Public Worship, developed by the Westminster Assembly in the 1640s. This directory documented Reformed worship practices and theology adopted and developed over the preceding century by British Puritans, initially guided by John Calvin and John Knox. It was enacted as law by the Scottish Parliament, and became one of the foundational documents of Presbyterian church legislation elsewhere.",The Presbyterian denominations from the British Isles were inspired by these principles in what document?,Directory of Public Worship
"In 1983, for the 40th anniversary of the network's founding, ID sequences had the logo appear in a gold CGI design on a blue background, accompanied by the slogan ""That Special Feeling"" in a script font. Ten years later, in 1993, the ""ABC Circle"" logo reverted to its classic white-on-black color scheme, but with gloss effects on both the circle and the letters, and a bronze border surrounding the circle. The ABC logo first appeared as a on-screen bug in the 1993–94 season, appearing initially only for 60 seconds at the beginning of an act or segment, before appearing throughout programs (except during commercial breaks) beginning in the 1995–96 season; the respective iterations of the translucent logo bug were also incorporated within program promotions until the 2011–12 season.",In which season did the ABC logo first appear as an on-screen bug?,1993–94 season; 1993–94; 1993–94
"In 1523, Luther wrote that Jesus Christ was born a Jew which discouraged mistreatment of the Jews and advocated their conversion by proving that the Old Testament could be shown to speak of Jesus Christ. However, as the Reformation continued, Luther began to lose hope in large-scale Jewish conversion to Christianity. In his later years, Luther grew more hostile toward the Jews, writing against them with the kind of venom he had already unleashed on the Anabaptists, Zwinglianism, and the papacy. His 1543 treatise Von den Juden und ihren Lügen (On the Jews and Their Lies) took its place among other anti-Jewish literature of the times, although historians acknowledge that this treatise was particularly extreme, even by the standards of sixteenth century Europe. In it, he takes a hardline against Judaism, writing that synagogues and Jewish homes should be destroyed, their money confiscated, and liberty curtailed. These statements and their influence on antisemitism have contributed to his controversial status.",What did Luther state as a means of discouraging mistreatment of Jews?,Jesus Christ was born a Jew; that Jesus Christ was born a Jew; conversion
"Notable faculty in physics have included the speed of light calculator A. A. Michelson, elementary charge calculator Robert A. Millikan, discoverer of the Compton Effect Arthur H. Compton, the creator of the first nuclear reactor Enrico Fermi, ""the father of the hydrogen bomb"" Edward Teller, ""one of the most brilliant and productive experimental physicists of the twentieth century"" Luis Walter Alvarez, Murray Gell-Mann who introduced the quark, second female Nobel laureate Maria Goeppert-Mayer, the youngest American winner of the Nobel Prize Tsung-Dao Lee, and astrophysicist Subrahmanyan Chandrasekhar.",Who calculated the speed of light?,A. A. Michelson; A. A. Michelson; A. A. Michelson
